what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.ui,3.2.0.v201105311250,"org.eclipse.rse.ui",1388920502437
started,bundle,org.eclipse.rse.files.ui,3.2.0.v201105021534,"org.eclipse.rse.files.ui",1388920502640
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.100.v201105021534,"org.eclipse.rse.subsystems.files.core",1388920502780
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1388920502827
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.200.v201105311250,"org.eclipse.rse.subsystems.shells.core",1388920503295
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1388920503295
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1388920503763
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1388920503872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920505900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920507226
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1388920507273
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1388920507320
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920507507
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920507554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1388920511262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920512011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920533242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1388920538952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920540122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920561182
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388920563194
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920563194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920566272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920574961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920575288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920578939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1388920614429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1388920614866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1388920615287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1388920616800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920619593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920621309
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920621496
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920621558
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388920632906
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1388920693029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1388920719159
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1388920759844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920767254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920767301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920767316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920769001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920769344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388920771794
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920772043
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920772090
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1388920794331
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1388920803801
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1388920806609
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388920869087
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920876559
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920877963
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388920879289
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388921102175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1388921105810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1388921125201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1388921131488
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1388921137712
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1388921140582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1388921142220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1388921144295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1388921144841
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388921146588
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388921161371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1388921172432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1388921172946
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388921175271
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388921181268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1388921189739
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388921191003
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1388921196405
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1388921196405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1388921198716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388921202725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1388921204659
